证劵代码,证劵简称,交易日期,开盘价,最高价,最低价,收盘价,成交数量(股),
"00001-HKG","长和","2023-08-03","47","47.25","46.3","46.3","5947109",
"00002-HKG","中电控股","2023-08-03","62.25","63","62","62.6","2003080",
"00003-HKG","香港中华煤气","2023-08-03","6.5","6.55","6.45","6.46","12797874",
"00004-HKG","九龙仓集团","2023-08-03","17.54","17.62","17.42","17.48","520257",
"00005-HKG","汇丰控股","2023-08-03","63.35","63.95","62.7","62.9","35635555",
"00006-HKG","电能实业","2023-08-03","40.7","41.4","40.35","40.55","3039424",
"00007-HKG","智富资源投资","2023-08-03","0.151","0.17","0.15","0.168","1790000",
"00008-HKG","电讯盈科","2023-08-03","3.97","4","3.96","3.99","2474467",
"00009-HKG","金奥国际","2023-08-03","null","null","null","0.018","0",
"00010-HKG","恒隆集团","2023-08-03","11.9","11.9","11.6","11.76","260000",
"00011-HKG","恒生银行","2023-08-03","110.9","110.9","108.8","109","2089652",
"00012-HKG","恒基地产","2023-08-03","22.95","23.35","22.9","23","1239431",
"00013-HKG","和黄医药","2023-08-03","22.65","24.1","22.35","23.95","5371378",
"00014-HKG","希慎兴业","2023-08-03","18.02","18.42","17.98","18.1","549452",
"00016-HKG","新鸿基地产","2023-08-03","96.05","96.95","95.55","96","3214621",
"00017-HKG","新世界发展","2023-08-03","18.46","18.54","18.22","18.24","3086834",
"00018-HKG","东方企控集团","2023-08-03","0.57","0.58","0.57","0.58","96000",
"00019-HKG","太古股份公司A","2023-08-03","63.7","63.95","63","63.65","1031564",
"00020-HKG","商汤-W","2023-08-03","1.75","1.79","1.74","1.76","106487612",
"00021-HKG","大中华控股","2023-08-03","0.099","0.099","0.093","0.093","85000",
"00022-HKG","茂盛控股","2023-08-03","null","null","null","0.07","0",
"00023-HKG","东亚银行","2023-08-03","11.86","12.1","11.84","12.04","836860",
"00025-HKG","CHEVALIER INT'L","2023-08-03","null","null","null","7","0",
"00026-HKG","中华汽车","2023-08-03","68","68","68","68","400",
"00027-HKG","银河娱乐","2023-08-03","54.8","56","54.3","55.45","4389004",
"00028-HKG","天安","2023-08-03","null","null","null","4.02","0",
"00029-HKG","达力集团","2023-08-03","null","null","null","11.58","0",
"00030-HKG","万隆控股集团","2023-08-03","null","null","null","null","null",
"00031-HKG","航天控股","2023-08-03","0.39","0.39","0.385","0.385","150000",
"00032-HKG","港通控股","2023-08-03","8.86","8.86","8.86","8.86","1970",
"00033-HKG","INTL GENIUS","2023-08-03","8.34","8.44","8.19","8.44","280400",
"00034-HKG","九龙建业","2023-08-03","8.11","8.11","8.07","8.09","122000",
"00035-HKG","远东发展","2023-08-03","1.83","1.84","1.82","1.84","915434",
"00036-HKG","远东控股国际","2023-08-03","0.115","0.117","0.107","0.117","318000",
"00037-HKG","远东酒店实业","2023-08-03","1.3","1.32","1.26","1.31","3262000",
"00038-HKG","第一拖拉机股份","2023-08-03","3.83","3.83","3.75","3.8","1074000",
"00039-HKG","中国北大荒","2023-08-03","0.09","0.094","0.088","0.093","1792000",
"00040-HKG","金山科技工业","2023-08-03","null","null","null","0.52","0",
"00041-HKG","鹰君","2023-08-03","14.16","14.32","14.16","14.22","73530",
"00042-HKG","东北电气","2023-08-03","0.25","0.25","0.25","0.25","10000",
"00045-HKG","大酒店","2023-08-03","6.93","6.93","6.8","6.84","154000",
"00046-HKG","科联系统","2023-08-03","null","null","null","2.3","0",
"00048-HKG","中国汽车内饰","2023-08-03","null","null","null","0.26","0",
"00050-HKG","香港小轮(集团)","2023-08-03","5.03","5.06","5.01","5.06","138000",
"00051-HKG","海港企业","2023-08-03","null","null","null","7.25","0",
"00052-HKG","大快活集团","2023-08-03","11","11","10.86","10.94","88500",
"00053-HKG","国浩集团","2023-08-03","64.95","65","64.3","65","23000",
"00055-HKG","中星集团控股","2023-08-03","0.265","0.28","0.265","0.28","136000",
"00057-HKG","震雄集团","2023-08-03","1.68","1.71","1.67","1.7","58000",
"00058-HKG","新威国际","2023-08-03","null","null","null","0.086","0",
"00059-HKG","天誉置业","2023-08-03","0.02","0.02","0.018","0.02","9024000",
"00060-HKG","香港食品投资","2023-08-03","0.73","0.73","0.69","0.69","22000",
"00061-HKG","绿领控股","2023-08-03","null","null","null","0.08","0",
"00062-HKG","载通","2023-08-03","10.08","10.34","10","10.3","16040",
"00063-HKG","中亚烯谷集团","2023-08-03","0.115","0.125","0.115","0.125","42000",
"00064-HKG","结好控股","2023-08-03","0.147","0.149","0.147","0.147","968000",
"00065-HKG","弘海高新资源","2023-08-03","0.5","0.5","0.48","0.49","2952000",
"00066-HKG","港铁公司","2023-08-03","35.2","35.45","35.1","35.2","1884031",
"00069-HKG","香格里拉(亚洲)","2023-08-03","6.29","6.32","6.16","6.22","728000",
"00070-HKG","金粤控股","2023-08-03","0.048","0.048","0.048","0.048","500000",
"00071-HKG","美丽华酒店","2023-08-03","null","null","null","11.22","0",
"00072-HKG","超媒体控股","2023-08-03","0.33","0.345","0.325","0.33","750000",
"00073-HKG","亚洲果业","2023-08-03","0.059","0.059","0.057","0.059","239000",
"00075-HKG","渝太地产","2023-08-03","0.4","0.4","0.4","0.4","8173",
"00076-HKG","谊砾控股","2023-08-03","0.255","0.255","0.248","0.255","189003",
"00077-HKG","进智公共交通","2023-08-03","null","null","null","0.81","0",
"00078-HKG","REGAL INT'L","2023-08-03","null","null","null","3.08","0",
"00079-HKG","世纪建业","2023-08-03","null","null","null","0.105","0",
"00080-HKG","中国新经济投资","2023-08-03","0.17","0.17","0.168","0.169","90000",
"00081-HKG","中国海外宏洋集团","2023-08-03","3.8","3.89","3.73","3.76","2922701",
"00082-HKG","疯狂体育","2023-08-03","0.178","0.178","0.17","0.174","2287000",
"00083-HKG","信和置业","2023-08-03","9.43","9.43","9.28","9.37","1670646",
"00084-HKG","宝光实业","2023-08-03","0.061","0.061","0.061","0.061","142000",
"00085-HKG","中电华大科技","2023-08-03","1.45","1.45","1.42","1.42","1822000",
"00086-HKG","新鸿基公司","2023-08-03","null","null","null","2.91","0",
"00087-HKG","太古股份公司B","2023-08-03","10.2","10.34","10.12","10.32","390824",
"00088-HKG","TAI CHEUNG HOLD","2023-08-03","3.55","3.6","3.55","3.6","28000",
"00089-HKG","大生地产","2023-08-03","3.41","3.41","3.41","3.41","6000",
"00090-HKG","普星能量","2023-08-03","0.4","0.4","0.4","0.4","62000",
"00091-HKG","金禧国际控股","2023-08-03","null","null","null","null","null",
"00092-HKG","冠军科技集团","2023-08-03","null","null","null","null","null",
"00093-HKG","TERMBRAY IND","2023-08-03","0.56","0.6","0.56","0.6","24000",
"00094-HKG","绿心集团","2023-08-03","null","null","null","0.055","0",
"00095-HKG","绿景中国地产","2023-08-03","1.7","2.01","1.65","1.93","36006000",
"00096-HKG","YUSEI","2023-08-03","null","null","null","0.72","0",
"00097-HKG","恒基发展","2023-08-03","0.255","0.255","0.255","0.255","59000",
"00098-HKG","兴发铝业","2023-08-03","6.72","6.72","6.7","6.7","163000",
"00099-HKG","王氏国际","2023-08-03","null","null","null","1.6","0",
"00101-HKG","恒隆地产","2023-08-03","11.18","11.36","11.02","11.2","8493225",
"00102-HKG","凯升控股","2023-08-03","0.147","0.16","0.145","0.15","1948000",
"00103-HKG","首佳科技","2023-08-03","0.192","0.193","0.191","0.191","126000",
"00104-HKG","ASIA COMM HOLD","2023-08-03","null","null","null","0.255","0",
"00105-HKG","凯联国际酒店","2023-08-03","null","null","null","8","0",
"00106-HKG","朗诗绿色管理","2023-08-03","0.104","0.104","0.104","0.104","64000",
"00107-HKG","四川成渝高速公路","2023-08-03","2.33","2.35","2.31","2.35","450000",
"00108-HKG","国锐地产","2023-08-03","0.92","0.92","0.86","0.86","2094000",
"00110-HKG","中国长远","2023-08-03","0.215","0.241","0.215","0.24","169000",
"00111-HKG","信达国际控股","2023-08-03","0.33","0.33","0.33","0.33","22000",
"00113-HKG","迪生创建","2023-08-03","4.35","4.35","4.31","4.31","5500",
"00114-HKG","HERALD HOLD","2023-08-03","0.495","0.495","0.495","0.495","15000",
"00115-HKG","钧濠集团","2023-08-03","null","null","null","0.28","0",
"00116-HKG","周生生","2023-08-03","9.83","9.97","9.78","9.81","250000",
"00117-HKG","天利控股集团","2023-08-03","null","null","null","0.455","0",
"00118-HKG","大同机械","2023-08-03","0.226","0.226","0.226","0.226","17530",
"00119-HKG","保利置业集团","2023-08-03","1.92","1.98","1.88","1.97","14838000",
"00120-HKG","COSMOPOL INT'L","2023-08-03","1.15","1.2","1.11","1.16","242000",
"00122-HKG","鳄鱼恤","2023-08-03","0.167","0.171","0.158","0.168","720000",
"00123-HKG","越秀地产","2023-08-03","10.2","10.94","9.96","10.52","14074610",
"00124-HKG","粤海置地","2023-08-03","null","null","null","0.67","0",
"00125-HKG","新兴光学","2023-08-03","0.73","0.73","0.73","0.73","74000",
"00126-HKG","佳宁娜","2023-08-03","null","null","null","0.385","0",
"00127-HKG","华人置业","2023-08-03","2.22","2.24","2.21","2.21","177000",
"00128-HKG","安宁控股","2023-08-03","0.53","0.53","0.52","0.53","436000",
"00129-HKG","泛海集团","2023-08-03","null","null","null","0.6","0",
"00130-HKG","慕诗国际","2023-08-03","null","null","null","0.17","0",
"00131-HKG","卓能(集团)","2023-08-03","1.8","1.8","1.8","1.8","13000",
"00132-HKG","中国兴业控股","2023-08-03","0.196","0.196","0.129","0.151","3000",
"00133-HKG","招商局中国基金","2023-08-03","9.35","9.35","9.3","9.3","34000",
"00135-HKG","昆仑能源","2023-08-03","6.14","6.25","6.12","6.15","8418200",
"00136-HKG","中国儒意","2023-08-03","2.22","2.25","2.15","2.17","46930600",
"00137-HKG","金辉集团","2023-08-03","0.73","0.77","0.66","0.68","84000",
"00138-HKG","中建富通","2023-08-03","0.275","0.29","0.275","0.29","2672579",
"00139-HKG","中达集团控股","2023-08-03","0.025","0.028","0.025","0.027","28796082",
"00142-HKG","第一太平","2023-08-03","2.82","2.88","2.81","2.86","1609130",
"00144-HKG","招商局港口","2023-08-03","10.22","10.24","10.1","10.14","2203572",
"00145-HKG","信能低碳","2023-08-03","0.05","0.05","0.048","0.048","624000",
"00146-HKG","TAI PING CARPET","2023-08-03","null","null","null","0.73","0",
"00147-HKG","国际商业结算","2023-08-03","null","null","null","0.07","0",
"00148-HKG","建滔集团","2023-08-03","21.65","22.1","21.35","21.75","336500",
"00149-HKG","中国农产品交易","2023-08-03","0.103","0.106","0.102","0.102","600189",
"00150-HKG","HYPEBEAST","2023-08-03","0.295","0.31","0.295","0.31","84000",
"00151-HKG","中国旺旺","2023-08-03","5.48","5.54","5.44","5.53","2718016",
"00152-HKG","深圳国际","2023-08-03","6.55","6.62","6.51","6.57","1777473",
"00154-HKG","北京控股环境集团","2023-08-03","0.41","0.41","0.4","0.4","145000",
"00156-HKG","力宝华润","2023-08-03","0.65","0.65","0.63","0.64","14000",
"00157-HKG","自然美","2023-08-03","null","null","null","0.52","0",
"00158-HKG","万邦投资","2023-08-03","null","null","null","125","0",
"00159-HKG","布莱克万矿业","2023-08-03","0.168","0.168","0.16","0.16","125000",
"00160-HKG","汉国置业","2023-08-03","1.9","1.9","1.88","1.88","33200",
"00162-HKG","世纪金花","2023-08-03","null","null","null","0.12","0",
"00163-HKG","英皇国际","2023-08-03","0.53","0.53","0.53","0.53","2790",
"00164-HKG","中国宝力科技","2023-08-03","0.73","0.81","0.73","0.81","45000",
"00165-HKG","中国光大控股","2023-08-03","5","5.05","4.93","5.02","982995",
"00166-HKG","新时代能源","2023-08-03","0.115","0.12","0.115","0.12","668000",
"00167-HKG","IDT INT'L","2023-08-03","null","null","null","null","null",
"00168-HKG","青岛啤酒股份","2023-08-03","66.05","66.75","65.15","66.35","2859758",
"00169-HKG","万达酒店发展","2023-08-03","0.27","0.27","0.27","0.27","4000",
"00171-HKG","银建国际","2023-08-03","0.25","0.255","0.242","0.25","132000",
"00173-HKG","嘉华国际","2023-08-03","2.59","2.6","2.57","2.58","135154",
"00174-HKG","盛洋投资","2023-08-03","null","null","null","0.35","0",
"00175-HKG","吉利汽车","2023-08-03","10.86","10.9","10.64","10.76","26157831",
"00176-HKG","先机企业集团","2023-08-03","null","null","null","0.028","0",
"00177-HKG","江苏宁沪高速公路","2023-08-03","7","7.01","6.93","6.93","835543",
"00178-HKG","莎莎国际","2023-08-03","1.36","1.4","1.36","1.39","932000",
"00179-HKG","德昌电机控股","2023-08-03","11","11","10.74","10.84","155500",
"00180-HKG","开达集团","2023-08-03","null","null","null","0.43","0",
"00181-HKG","闽港控股","2023-08-03","null","null","null","0.104","0",
"00182-HKG","协合新能源","2023-08-03","0.63","0.63","0.62","0.63","1340000",
"00183-HKG","宏辉集团","2023-08-03","null","null","null","0.204","0",
"00184-HKG","激成投资","2023-08-03","2.38","2.38","2.38","2.38","4000",
"00185-HKG","正商实业","2023-08-03","0.6","0.6","0.58","0.6","2490999",
"00186-HKG","敏捷控股","2023-08-03","null","null","null","0.3","0",
"00187-HKG","京城机电股份","2023-08-03","3.07","3.07","2.99","3","2212000",
"00188-HKG","新华汇富金融","2023-08-03","null","null","null","0.255","0",
"00189-HKG","东岳集团","2023-08-03","7.51","7.56","7.41","7.46","2280000",
"00191-HKG","丽新国际","2023-08-03","1.31","1.31","1.29","1.29","30000",
"00193-HKG","冠中地产","2023-08-03","0.215","0.222","0.215","0.22","160400",
"00194-HKG","廖创兴企业","2023-08-03","5.9","5.9","5.9","5.9","6000",
"00195-HKG","绿科科技国际","2023-08-03","0.49","0.49","0.49","0.49","40000",
"00196-HKG","宏华集团","2023-08-03","0.138","0.141","0.133","0.136","409000",
"00197-HKG","亨泰","2023-08-03","0.042","0.045","0.039","0.044","8884653",
"00199-HKG","德祥地产","2023-08-03","0.82","0.82","0.82","0.82","1000",
"00200-HKG","新濠国际发展","2023-08-03","8.08","8.39","7.85","8.25","2662950",
"00201-HKG","华大酒店","2023-08-03","0.107","0.107","0.107","0.107","100000",
"00202-HKG","润中国际控股","2023-08-03","0.148","0.15","0.145","0.15","165000",
"00204-HKG","中国投资开发","2023-08-03","0.71","0.72","0.63","0.7","4097400",
"00205-HKG","财讯传媒","2023-08-03","0.425","0.425","0.365","0.41","311250",
"00206-HKG","华商能源","2023-08-03","0.205","0.205","0.203","0.203","50000",
"00207-HKG","大悦城地产","2023-08-03","0.28","0.285","0.27","0.285","1568000",
"00209-HKG","瀛晟科学","2023-08-03","0.135","0.139","0.118","0.133","115200",
"00210-HKG","达芙妮国际","2023-08-03","0.161","0.18","0.161","0.178","4696000",
"00211-HKG","STYLAND HOLD","2023-08-03","0.25","0.26","0.25","0.255","60000",
"00212-HKG","NANYANG HOLD","2023-08-03","null","null","null","24","0",
"00213-HKG","NATIONAL ELEC H","2023-08-03","0.8","0.8","0.8","0.8","96000",
"00214-HKG","汇汉控股","2023-08-03","null","null","null","0.53","0",
"00215-HKG","和记电讯香港","2023-08-03","1.16","1.17","1.15","1.16","1699333",
"00216-HKG","建业实业","2023-08-03","null","null","null","1.17","0",
"00217-HKG","中国诚通发展集团","2023-08-03","null","null","null","0.111","0",
"00218-HKG","申万宏源香港","2023-08-03","0.415","0.44","0.41","0.44","181000",
"00219-HKG","顺豪物业","2023-08-03","null","null","null","1.18","1650",
"00220-HKG","统一企业中国","2023-08-03","6.52","6.52","6.38","6.43","1791498",
"00222-HKG","闽信集团","2023-08-03","3.27","3.3","3.22","3.3","40000",
"00223-HKG","易生活控股","2023-08-03","0.117","0.128","0.117","0.128","800000",
"00224-HKG","建生国际","2023-08-03","null","null","null","0.83","0",
"00225-HKG","博富临置业","2023-08-03","null","null","null","7.32","0",
"00226-HKG","力宝","2023-08-03","1.65","1.65","1.65","1.65","6000",
"00227-HKG","第一上海","2023-08-03","null","null","null","null","null",
"00228-HKG","中能控股","2023-08-03","0.072","0.072","0.072","0.072","104000",
"00229-HKG","利民实业","2023-08-03","0.81","0.81","0.81","0.81","5000",
"00230-HKG","五矿地产","2023-08-03","0.38","0.415","0.38","0.41","12000",
"00232-HKG","大陆航空科技控股","2023-08-03","null","null","null","0.087","0",
"00234-HKG","新世纪集团","2023-08-03","null","null","null","0.054","0",
"00235-HKG","中策资本控股","2023-08-03","0.033","0.033","0.031","0.032","5118911",
"00236-HKG","香港生力啤","2023-08-03","0.86","0.87","0.84","0.86","306000",
"00237-HKG","安全货仓","2023-08-03","null","null","null","2.2","0",
"00239-HKG","白花油","2023-08-03","1.55","1.55","1.55","1.55","2500",
"00240-HKG","利基控股","2023-08-03","1.01","1.01","1","1.01","100000",
"00241-HKG","阿里健康","2023-08-03","5.34","5.43","5.27","5.38","20826214",
"00242-HKG","信德集团","2023-08-03","1.31","1.34","1.29","1.33","954500",
"00243-HKG","QPL INT'L","2023-08-03","null","null","null","0.249","0",
"00244-HKG","先施","2023-08-03","null","null","null","0.247","0",
"00245-HKG","中薇金融","2023-08-03","0.027","0.027","0.025","0.027","7960000",
"00247-HKG","TST PROPERTIES","2023-08-03","null","null","null","21.8","0",
"00248-HKG","香港通讯国际控股","2023-08-03","null","null","null","0.051","0",
"00250-HKG","中国数码信息","2023-08-03","null","null","null","null","null",
"00251-HKG","爪哇控股","2023-08-03","null","null","null","2.1","0",
"00252-HKG","华信地产财务","2023-08-03","null","null","null","3.2","0",
"00253-HKG","顺豪控股","2023-08-03","null","null","null","0.98","0",
"00254-HKG","国家联合资源","2023-08-03","0.106","0.106","0.105","0.106","1035000",
"00255-HKG","龙记集团","2023-08-03","1.81","1.9","1.74","1.78","424000",
"00256-HKG","冠城钟表珠宝","2023-08-03","1.19","1.22","1.18","1.2","2636000",
"00257-HKG","光大环境","2023-08-03","3.01","3.05","3","3.01","3515000",
"00258-HKG","汤臣集团","2023-08-03","1.69","1.69","1.69","1.69","14000",
"00259-HKG","亿都(国际控股)","2023-08-03","2.97","2.98","2.92","2.93","264000",
"00260-HKG","幸福控股","2023-08-03","null","null","null","null","null",
"00261-HKG","GBA集团","2023-08-03","0.036","0.037","0.036","0.036","1198000",
"00262-HKG","迪臣发展国际","2023-08-03","null","null","null","0.057","0",
"00264-HKG","中联发展控股","2023-08-03","null","null","null","0.78","0",
"00265-HKG","东胜智慧城市服务","2023-08-03","0.031","0.036","0.031","0.032","350000",
"00266-HKG","天德地产","2023-08-03","null","null","null","3","0",
"00267-HKG","中信股份","2023-08-03","8.4","8.43","8.28","8.31","9433812",
"00268-HKG","金蝶国际","2023-08-03","12.84","13.96","12.62","13.58","22101228",
"00269-HKG","中国资源交通","2023-08-03","null","null","null","null","null",
"00270-HKG","粤海投资","2023-08-03","6.34","6.4","6.33","6.33","8076136",
"00271-HKG","亚证地产","2023-08-03","0.192","0.199","0.19","0.199","252000",
"00272-HKG","瑞安房地产","2023-08-03","0.84","0.85","0.83","0.83","8669592",
"00273-HKG","茂宸集团","2023-08-03","0.032","0.032","0.032","0.032","614502",
"00274-HKG","复兴亚洲","2023-08-03","0.148","0.162","0.13","0.14","2580100",
"00276-HKG","蒙古能源","2023-08-03","0.7","0.71","0.66","0.68","48250",
"00277-HKG","太兴置业","2023-08-03","null","null","null","2.8","0",
"00278-HKG","华厦置业","2023-08-03","null","null","null","null","null",
"00279-HKG","裕承科金","2023-08-03","0.083","0.086","0.082","0.084","9126000",
"00280-HKG","景福集团","2023-08-03","0.51","0.51","0.5","0.51","164000",
"00285-HKG","比亚迪电子","2023-08-03","30.25","30.25","29.2","30","3464642",
"00286-HKG","爱帝宫","2023-08-03","0.335","0.34","0.325","0.33","1906000",
"00287-HKG","永发置业","2023-08-03","null","null","null","6.6","0",
"00288-HKG","万洲国际","2023-08-03","4.07","4.12","4.04","4.07","14300321",
"00289-HKG","WING ON CO","2023-08-03","null","null","null","12.86","0",
"00290-HKG","国富创新","2023-08-03","0.18","0.183","0.18","0.183","224000",
"00291-HKG","华润啤酒","2023-08-03","48","48.5","47.1","48.1","9920643",
"00292-HKG","泛海酒店","2023-08-03","0.094","0.094","0.094","0.094","17593",
"00293-HKG","国泰航空","2023-08-03","8.7","8.75","8.6","8.66","3903603",
"00294-HKG","长江制衣","2023-08-03","1.39","1.4","1.39","1.4","23000",
"00295-HKG","江山控股","2023-08-03","0.053","0.053","0.053","0.053","75000",
"00296-HKG","英皇娱乐酒店","2023-08-03","0.485","0.52","0.485","0.52","120000",
"00297-HKG","中化化肥","2023-08-03","1.02","1.03","1","1.03","3838000",
"00298-HKG","庄士中国","2023-08-03","0.2","0.2","0.196","0.196","386256",
"00299-HKG","宝新置地","2023-08-03","null","null","null","0.36","400",
"00301-HKG","三和精化","2023-08-03","1.33","1.38","1.33","1.38","32000",
"00302-HKG","中手游","2023-08-03","1.77","1.79","1.73","1.76","8750000",
"00303-HKG","VTECH HOLDINGS","2023-08-03","47.3","48.5","47.3","48.05","306311",
"00305-HKG","五菱汽车","2023-08-03","0.78","0.79","0.73","0.74","1350000",
"00306-HKG","冠忠巴士集团","2023-08-03","null","null","null","1.77","0",
"00308-HKG","香港中旅","2023-08-03","1.65","1.69","1.65","1.68","1848000",
"00309-HKG","新华通讯频媒","2023-08-03","0.04","0.042","0.037","0.041","1130000",
"00310-HKG","嘉进投资国际","2023-08-03","null","null","null","0.017","30000",
"00311-HKG","联泰控股","2023-08-03","null","null","null","0.385","0",
"00312-HKG","岁宝百货","2023-08-03","null","null","null","0.078","0",
"00313-HKG","裕田中国","2023-08-03","0.01","0.01","0.01","0.01","1000000",
"00314-HKG","思派健康","2023-08-03","7.6","7.6","7.27","7.42","389600",
"00315-HKG","数码通电讯","2023-08-03","4.62","4.64","4.6","4.63","129000",
"00316-HKG","东方海外国际","2023-08-03","124.6","129.5","124.5","127.4","475893",
"00317-HKG","中船防务","2023-08-03","10.74","10.84","10.52","10.58","2142000",
"00318-HKG","黄河实业","2023-08-03","0.28","0.285","0.275","0.285","800000",
"00320-HKG","金宝通","2023-08-03","null","null","null","0.42","0",
"00321-HKG","德永佳集团","2023-08-03","1.22","1.23","1.22","1.23","208000",
"00322-HKG","康师傅控股","2023-08-03","11.3","11.32","11.2","11.26","4214450",
"00323-HKG","马鞍山钢铁股份","2023-08-03","1.6","1.62","1.56","1.6","2754000",
"00326-HKG","中国星集团","2023-08-03","0.77","0.79","0.76","0.79","104000",
"00327-HKG","百富环球","2023-08-03","6.35","6.38","6.25","6.32","762152",
"00328-HKG","ALCO HOLDINGS","2023-08-03","2.6","2.78","2.46","2.67","126200",
"00329-HKG","东建国际","2023-08-03","0.46","0.55","0.46","0.55","60000",
"00330-HKG","思捷环球","2023-08-03","0.54","0.56","0.54","0.55","82684",
"00331-HKG","丰盛生活服务","2023-08-03","6.07","6.09","6.06","6.06","130000",
"00332-HKG","元亨燃气","2023-08-03","0.083","0.083","0.08","0.08","1984000",
"00333-HKG","黛丽斯国际","2023-08-03","null","null","null","0.395","0",
"00334-HKG","华显光电","2023-08-03","null","null","null","0.325","0",
"00335-HKG","美建集团","2023-08-03","null","null","null","0.59","0",
"00336-HKG","华宝国际","2023-08-03","3.26","3.26","3.19","3.21","1177000",
"00337-HKG","绿地香港","2023-08-03","0.42","0.42","0.41","0.41","272000",
"00338-HKG","上海石油化工股份","2023-08-03","1.19","1.2","1.19","1.19","4172000",
"00339-HKG","核心经济投资","2023-08-03","null","null","null","0.113","0",
"00340-HKG","潼关黄金","2023-08-03","0.72","0.72","0.68","0.68","904000",
"00341-HKG","大家乐集团","2023-08-03","9.93","10.16","9.92","10.1","525666",
"00342-HKG","新海能源","2023-08-03","null","null","null","null","null",
"00343-HKG","文化传信","2023-08-03","0.38","0.38","0.38","0.38","115000",
"00345-HKG","VITASOY INT'L","2023-08-03","10.46","10.64","10.28","10.5","1088091",
"00346-HKG","延长石油国际","2023-08-03","null","null","null","0.49","63500",
"00347-HKG","鞍钢股份","2023-08-03","2.32","2.39","2.28","2.35","3827983",
"00348-HKG","中国智能健康","2023-08-03","0.061","0.061","0.05","0.052","7556000",
"00351-HKG","亚洲能源物流","2023-08-03","null","null","null","0.155","0",
"00352-HKG","富阳","2023-08-03","null","null","null","0.194","0",
"00353-HKG","能源国际投资","2023-08-03","0.72","0.75","0.72","0.73","854000",
"00354-HKG","中国软件国际","2023-08-03","4.73","4.73","4.63","4.69","8332000",
"00355-HKG","世纪城市国际","2023-08-03","0.24","0.255","0.238","0.242","1347800",
"00356-HKG","鼎立资本","2023-08-03","0.085","0.103","0.085","0.103","900000",
"00357-HKG","美兰空港","2023-08-03","10.9","11.24","10.76","10.96","1180286",
"00358-HKG","江西铜业股份","2023-08-03","12.86","13.1","12.8","13.02","2483874",
"00359-HKG","海升果汁","2023-08-03","null","null","null","null","null",
"00360-HKG","新焦点","2023-08-03","0.053","0.054","0.051","0.052","14368000",
"00361-HKG","顺龙控股","2023-08-03","0.071","0.071","0.063","0.065","4220000",
"00362-HKG","中国天化工","2023-08-03","0.68","0.73","0.66","0.69","2602000",
"00363-HKG","上海实业控股","2023-08-03","11.5","11.74","11.4","11.64","1059000",
"00365-HKG","芯成科技","2023-08-03","0.325","0.325","0.325","0.325","2000",
"00366-HKG","陆氏集团(越南)","2023-08-03","null","null","null","1.03","0",
"00367-HKG","庄士机构国际","2023-08-03","null","null","null","0.54","0",
"00368-HKG","德合集团","2023-08-03","null","null","null","0.35","0",
"00369-HKG","永泰地产","2023-08-03","3.29","3.3","3.29","3.3","38000",
"00370-HKG","国华","2023-08-03","null","null","null","0.26","0",
"00371-HKG","北控水务集团","2023-08-03","1.88","1.9","1.87","1.89","3445849",
"00372-HKG","保德国际发展","2023-08-03","0.088","0.088","0.074","0.078","2626000",
"00373-HKG","联合集团","2023-08-03","1.67","1.67","1.67","1.67","164000",
"00374-HKG","四洲集团","2023-08-03","null","null","null","2.62","0",
"00375-HKG","YGM TRADING","2023-08-03","1.37","1.37","1.37","1.37","1000",
"00376-HKG","云锋金融","2023-08-03","1.22","1.23","1.17","1.21","168462",
"00377-HKG","中国华君","2023-08-03","null","null","null","1.32","0",
"00379-HKG","恒嘉融资租赁","2023-08-03","0.077","0.077","0.077","0.077","15000",
"00380-HKG","中国管业","2023-08-03","null","null","null","0.09","0",
"00381-HKG","侨雄国际","2023-08-03","0.141","0.141","0.14","0.141","50000",
"00382-HKG","中汇集团","2023-08-03","2.48","2.59","2.48","2.53","149729",
"00383-HKG","中国医疗网络","2023-08-03","null","null","null","0.89","0",
"00384-HKG","中国燃气","2023-08-03","8.55","8.73","8.49","8.56","3564949",
"00385-HKG","建联集团","2023-08-03","null","null","null","0.55","0",
"00386-HKG","中国石油化工股份","2023-08-03","4.3","4.33","4.24","4.24","106063290",
"00387-HKG","力丰(集团)","2023-08-03","null","null","null","0.72","0",
"00388-HKG","香港交易所","2023-08-03","317","322.8","315.4","318.6","2646456",
"00389-HKG","通天酒业","2023-08-03","0.14","0.144","0.139","0.143","10968000",
"00390-HKG","中国中铁","2023-08-03","5.04","5.17","5","5.1","7831534",
"00391-HKG","美亚娱乐资讯","2023-08-03","0.177","0.177","0.168","0.174","1540000",
"00392-HKG","北京控股","2023-08-03","30.3","30.7","30.1","30.45","601847",
"00393-HKG","旭日企业","2023-08-03","0.82","0.84","0.82","0.84","108000",
"00396-HKG","兴利(香港)控股","2023-08-03","null","null","null","0.099","0",
"00397-HKG","嬴集团","2023-08-03","0.143","0.147","0.137","0.139","1280000",
"00398-HKG","东方表行集团","2023-08-03","4.43","4.46","4.42","4.44","318000",
"00399-HKG","领航医药生物科技","2023-08-03","null","null","null","0.215","0",
"00400-HKG","硬蛋创新","2023-08-03","1.29","1.31","1.29","1.31","88000",
"00401-HKG","万嘉集团","2023-08-03","0.098","0.098","0.093","0.093","1040000",
"00403-HKG","星光集团","2023-08-03","null","null","null","0.196","0",
"00405-HKG","越秀房产信托基金","2023-08-03","1.55","1.58","1.54","1.57","1310144",
