证劵代码,证劵简称,交易日期,开盘价,最高价,最低价,收盘价,成交数量(股),
"01899-HKG","兴达国际","2023-08-03","1.45","1.48","1.44","1.45","543000",
"01900-HKG","中国智能交通","2023-08-03","0.127","0.127","0.119","0.122","71000",
"01901-HKG","飞扬集团","2023-08-03","1.25","1.3","1.24","1.27","3032000",
"01902-HKG","银城国际控股","2023-08-03","0.066","0.071","0.063","0.066","1456000",
"01903-HKG","JBB BUILDERS","2023-08-03","null","null","null","0.54","2000",
"01905-HKG","海通恒信","2023-08-03","0.86","0.87","0.85","0.87","1682000",
"01906-HKG","博尼控股","2023-08-03","0.44","0.44","0.44","0.44","500000",
"01907-HKG","中国旭阳集团","2023-08-03","3.61","3.62","3.55","3.56","6385000",
"01908-HKG","建发国际集团","2023-08-03","21.75","22.3","21.3","22.1","2932280",
"01909-HKG","火岩控股","2023-08-03","null","null","null","null","null",
"01910-HKG","新秀丽","2023-08-03","22.5","22.9","22.45","22.6","1595294",
"01911-HKG","华兴资本控股","2023-08-03","null","null","null","null","null",
"01912-HKG","康特隆","2023-08-03","null","null","null","0.06","0",
"01913-HKG","普拉达","2023-08-03","54.1","54.85","52.65","54.6","1353509",
"01915-HKG","泰和小贷","2023-08-03","0.6","0.6","0.6","0.6","74000",
"01916-HKG","江西银行","2023-08-03","1","1.01","1","1","54000",
"01917-HKG","豆盟科技","2023-08-03","0.124","0.124","0.124","0.124","50000",
"01918-HKG","融创中国","2023-08-03","1.34","1.35","1.28","1.33","32073000",
"01919-HKG","中远海控","2023-08-03","8.07","8.13","7.97","8.01","9731918",
"01920-HKG","恒新丰控股","2023-08-03","null","null","null","0.049","0",
"01921-HKG","达力普控股","2023-08-03","3.96","3.96","3.79","3.95","1538000",
"01922-HKG","银城生活服务","2023-08-03","1.7","1.7","1.69","1.69","104000",
"01925-HKG","旷世控股","2023-08-03","1.58","1.6","1.58","1.6","36000",
"01927-HKG","久久王","2023-08-03","0.16","0.16","0.158","0.158","160000",
"01928-HKG","金沙中国有限公司","2023-08-03","29","30.15","28.8","29.55","10101085",
"01929-HKG","周大福","2023-08-03","13.1","13.16","12.9","13","2382479",
"01930-HKG","勋龙","2023-08-03","0.365","0.38","0.365","0.375","84000",
"01931-HKG","华检医疗","2023-08-03","1.16","1.31","1.14","1.17","23000",
"01932-HKG","中漆集团","2023-08-03","null","null","null","0.3","0",
"01933-HKG","元力控股","2023-08-03","0.228","0.228","0.224","0.224","68000",
"01935-HKG","嘉宏教育","2023-08-03","1.07","1.07","1.07","1.07","4000",
"01936-HKG","利特米","2023-08-03","1.78","1.79","1.76","1.77","1332000",
"01937-HKG","佳辰控股","2023-08-03","0.385","0.39","0.385","0.39","100000",
"01938-HKG","珠江钢管","2023-08-03","0.255","0.29","0.255","0.275","2607000",
"01939-HKG","东京中央拍卖","2023-08-03","null","null","null","0.69","0",
"01940-HKG","CGII HLDGS","2023-08-03","0.38","0.39","0.38","0.39","18000",
"01941-HKG","烨星集团","2023-08-03","null","null","null","0.185","0",
"01942-HKG","马可数字科技","2023-08-03","98.3","98.3","92.2","97.95","1916000",
"01943-HKG","银涛控股","2023-08-03","0.65","0.65","0.65","0.65","20000",
"01945-HKG","清科创业","2023-08-03","1.56","1.56","1.47","1.55","42800",
"01947-HKG","美皓集团","2023-08-03","null","null","null","0.49","0",
"01948-HKG","优矩控股","2023-08-03","2.7","2.9","2.7","2.9","11000",
"01949-HKG","PLATT NERA","2023-08-03","0.213","0.214","0.213","0.213","176000",
"01950-HKG","帝王实业控股","2023-08-03","0.51","0.51","0.49","0.51","637600",
"01951-HKG","锦欣生殖","2023-08-03","4.27","4.32","4.22","4.31","11939271",
"01952-HKG","云顶新耀-B","2023-08-03","19.78","21.2","19.4","20.2","3331020",
"01953-HKG","RIMBACO","2023-08-03","0.186","0.186","0.178","0.179","580000",
"01955-HKG","庄臣控股","2023-08-03","null","null","null","0.495","0",
"01957-HKG","MBV INTL","2023-08-03","1.85","1.9","1.74","1.85","880000",
"01958-HKG","北京汽车","2023-08-03","2.22","2.28","2.19","2.27","7536725",
"01959-HKG","世纪联合控股","2023-08-03","0.226","0.226","0.226","0.226","6000",
"01960-HKG","TBKS HLDGS","2023-08-03","0.385","0.385","0.385","0.385","5000",
"01961-HKG","多牛科技","2023-08-03","1.47","1.52","1.46","1.51","844000",
"01962-HKG","训修实业","2023-08-03","null","null","null","0.465","0",
"01963-HKG","重庆银行","2023-08-03","4.11","4.16","4.1","4.15","449500",
"01965-HKG","朗诗绿色生活","2023-08-03","1.59","1.59","1.3","1.3","155000",
"01966-HKG","中骏集团控股","2023-08-03","0.5","0.53","0.49","0.51","18509000",
"01967-HKG","信恳智能","2023-08-03","1.9","1.91","1.66","1.71","938800",
"01968-HKG","兴纺控股","2023-08-03","0.206","0.206","0.205","0.206","24000",
"01969-HKG","中国春来","2023-08-03","5.35","5.35","5.21","5.24","445000",
"01970-HKG","IMAX CHINA","2023-08-03","9.49","9.5","9.4","9.47","442477",
"01971-HKG","弘阳服务","2023-08-03","null","null","null","0.52","0",
"01972-HKG","太古地产","2023-08-03","18.8","19.2","18.6","19.08","1678902",
"01975-HKG","新兴印刷","2023-08-03","0.84","0.84","0.84","0.84","16000",
"01977-HKG","安乐工程","2023-08-03","1.38","1.4","1.38","1.4","10000",
"01978-HKG","叙福楼集团","2023-08-03","1.07","1.09","1.07","1.07","58000",
"01979-HKG","天宝集团","2023-08-03","1.05","1.05","1.05","1.05","24000",
"01980-HKG","天鸽互动","2023-08-03","0.38","0.385","0.37","0.385","78000",
"01981-HKG","华夏视听教育","2023-08-03","1.12","1.13","1.1","1.12","699000",
"01982-HKG","南旋控股","2023-08-03","null","null","null","0.475","0",
"01983-HKG","泸州银行","2023-08-03","2.51","2.51","2.4","2.51","2000",
"01985-HKG","美高域","2023-08-03","1.29","1.29","1.24","1.29","430000",
"01986-HKG","彩客新能源","2023-08-03","1.17","1.18","1.14","1.18","1480000",
